date,B1,B2,B3,T1,G1,G2,G3,G4,G5,G6,G7,G8,G9
2016-08-15,884.297786,35.796763,-350.242436,6.159664,1.018406,1.442328,-8.51851,8.773787,-1.212729,-2.968243,0.440419,0.0,0.0
2016-08-16,887.529649,28.85576,-354.655189,6.598976,0.119825,0.066988,-6.008588,11.146803,-2.222493,-3.845099,1.163744,0.0,0.0
2016-08-17,892.685579,27.108205,-361.049082,6.655105,1.205398,1.198456,-10.001475,8.64793,-0.251905,-1.700137,-1.017221,0.0,0.0
2016-08-18,892.459418,29.65011,-373.454326,6.178345,1.565215,2.558131,-7.426267,4.236548,2.59093,-3.999015,1.021281,0.0,0.0
2016-08-19,901.226189,13.777788,-373.979593,6.232419,-0.16085,0.296101,-3.323818,4.636806,1.765229,-3.38375,0.501418,0.0,0.0
2016-08-22,905.388202,9.882177,-375.297632,6.471669,-2.221389,-1.05304,-2.419076,2.587915,1.310944,-1.91679,-0.653718,0.0,0.0
2016-08-23,901.654494,14.384542,-382.038085,6.567274,1.506213,1.763666,-5.029944,3.682599,-0.610589,-1.939539,-1.481356,0.0,0.0
2016-08-24,908.853591,6.411813,-382.291748,6.505493,1.388028,2.685841,-8.370818,2.297748,0.583691,-1.033075,-0.630035,0.0,0.0
2016-08-25,905.103793,4.089203,-382.110632,6.785615,-0.020999,-0.334867,-5.810507,1.868855,1.940742,-1.055861,-1.111476,0.0,0.0
2016-08-26,910.458033,-14.946663,-373.781044,7.227273,-2.239446,-2.364833,-0.935675,4.355605,0.943206,-3.625143,0.458274,0.0,0.0
2016-08-29,914.357924,-22.062869,-373.622405,7.353897,-1.601742,-0.888407,-1.450312,4.447601,2.289451,-2.007414,-1.001185,0.0,0.0
2016-08-30,915.777196,-24.710345,-378.965607,7.288533,-0.680786,-2.214158,-0.856927,5.132328,1.386381,-3.476408,0.486126,0.0,0.0
2016-08-31,915.798348,-31.029858,-381.08084,7.229378,-0.064211,-1.07016,-0.011113,2.740412,0.590796,-3.720232,1.346248,0.0,0.0
2016-09-01,921.150946,-37.776084,-384.821256,6.981469,-0.98189,-2.7562,-0.661067,4.654698,1.14965,-4.609163,0.57111,0.0,0.0
2016-09-02,920.184263,-31.353777,-410.968506,6.24867,-0.018064,-0.794949,-1.828571,1.258003,4.520485,-3.324645,0.58626,0.0,0.0
2016-09-05,919.559078,-23.733106,-429.273868,5.770633,1.865218,3.891993,-5.04577,-0.51793,2.382358,-1.453127,-0.951058,0.0,0.0
2016-09-06,906.421637,-0.170964,-445.563158,4.990582,3.504445,7.036344,-12.89576,-0.295784,5.342607,-1.370636,-1.449015,0.0,0.0
2016-09-07,898.214148,8.352688,-444.249843,4.695774,3.255906,3.872829,-11.608652,-0.844225,5.699391,-0.658454,-1.404643,0.0,0.0
2016-09-08,885.045549,28.351697,-452.116031,4.2067,3.963838,5.20381,-11.695308,1.369495,5.030251,-1.468608,-1.957931,0.0,0.0
2016-09-09,899.632463,10.007981,-426.790009,4.442499,2.806006,1.60207,-11.758021,3.265492,3.985618,-1.344306,-1.591395,0.0,0.0
2016-09-12,894.090151,10.355737,-410.635818,4.44413,3.167406,2.892686,-9.692764,2.090728,3.256864,-0.885576,-1.288817,0.0,0.0
2016-09-13,888.952488,7.684526,-387.713615,4.380636,2.707471,3.189007,-10.286679,0.17662,4.882419,-0.021585,-0.856664,0.0,0.0
2016-09-14,880.32093,12.394171,-362.973098,3.98675,2.346626,3.507229,-8.696427,-2.429401,7.172042,-0.292225,-1.380151,0.0,0.0
2016-09-15,872.536218,22.165522,-352.109955,3.804079,2.530551,3.96493,-8.468361,0.507595,4.651798,0.016446,-0.463508,0.0,0.0
2016-09-16,869.696932,50.808428,-346.391571,3.449576,2.58507,2.667901,-11.216262,0.573127,7.776272,-0.513433,-1.450766,0.0,0.0
2016-09-19,863.001373,60.612958,-332.291553,3.568691,2.332484,-1.570119,-11.41997,2.906445,7.855923,-0.717052,-1.656848,0.0,0.0
2016-09-20,866.758211,51.119855,-316.679874,4.275184,4.183487,6.195784,-11.183398,0.731681,2.617311,-1.709311,0.531714,0.0,0.0
2016-09-21,853.68595,68.986055,-326.143882,3.439766,4.723761,4.93686,-16.555803,2.82966,5.556689,-0.749267,-1.089786,0.0,0.0
2016-09-22,833.079044,103.672969,-312.163946,2.707645,4.691519,4.100334,-14.892888,5.310454,6.391259,-1.567463,-2.058079,0.0,0.0
2016-09-23,804.942414,162.173347,-245.663428,1.501377,0.016491,-1.238662,-6.082901,8.374042,11.146803,-3.233763,-4.146796,0.0,0.0
2016-09-26,793.707732,160.151822,-166.05209,1.412944,0.636425,0.672425,-5.981712,7.854396,5.884429,-2.271259,-2.375588,0.0,0.0
2016-09-27,792.162059,173.750901,-133.625518,1.095803,-1.432985,-0.418867,-2.746915,5.308932,4.024093,-1.792648,-1.767679,0.0,0.0
2016-09-28,787.701289,172.630561,-115.13953,0.999568,-1.444578,0.46777,-1.73564,5.224246,2.947446,-1.748683,-1.252345,0.0,0.0
2016-09-29,781.558245,174.789927,-97.115266,0.893931,0.712876,1.296393,-3.958048,5.773123,3.613031,-3.287477,-2.012375,0.0,0.0
2016-09-30,781.093951,184.463362,-89.561491,0.760056,-0.0655,-0.063469,-3.099509,4.996375,4.143765,-1.701368,-1.857537,0.0,0.0
2016-10-03,776.907382,190.121976,-114.527917,0.84885,1.910177,3.334714,-4.406794,3.825866,2.201127,-2.643173,-1.687987,0.0,0.0
2016-10-04,777.893447,185.133712,-110.115329,0.914185,1.427845,3.568243,-5.803878,2.714151,2.351329,-2.102192,-1.814939,0.0,0.0
2016-10-05,783.560549,194.214097,-115.261365,0.815135,-2.958771,-0.993413,-2.576445,6.364788,3.774245,-2.149824,-1.456928,0.0,0.0
2016-10-06,787.316934,166.484445,-98.550405,1.057356,-0.381361,3.226757,-6.898231,4.390566,4.507942,-2.827688,-2.73671,0.0,0.0
2016-10-07,788.686112,214.509803,-102.669153,0.625413,-1.060683,1.564209,-5.256443,4.24877,7.71859,-2.66346,-2.84116,0.0,0.0
2016-10-10,793.814828,168.561795,-83.432126,0.773282,0.780106,4.095402,-7.394812,5.09959,7.478831,-3.255779,-3.300951,0.0,0.0
2016-10-11,796.678372,180.982501,-74.85915,0.640507,0.188742,1.225151,-6.966074,8.782083,7.783402,-3.096572,-3.048104,0.0,0.0
